token	lemma	Deg	Numb	Person	Mood_Tense_Voice	Case	Gend	Dis	pos
sibi	sui	_	Sing	_	_	Dat	_	1	PROref
collegam	collega	_	Sing	_	_	Acc	_	_	NOMcom
in	in	_	_	_	_	_	_	_	PRE
tribuniciam	tribunicius	Pos	Sing	_	_	Acc	Fem	2	ADJqua
potestatem	potestas	_	Sing	_	_	Acc	_	_	NOMcom
iunxit	iungo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
congiarium	congiarium	_	Sing	_	_	Acc	_	_	NOMcom
populo	populus	_	Sing	_	_	Dat	_	1	NOMcom
dedit	do	_	Sing	3	Ind|Perf|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
spectacula	spectaculum	_	Plur	_	_	Acc	_	_	NOMcom
mirifica	mirificus	Pos	Plur	_	_	Acc	Neut	_	ADJqua
dein	deinde	Pos	_	_	_	_	_	_	ADV
ciuilia	ciuilis	Pos	Plur	_	_	Acc	Neut	_	ADJqua
multa	multus	Pos	Plur	_	_	Acc	Neut	_	ADJqua
correxit	corrigo	_	Sing	3	Ind|Perf|Act	_	_	_	VER

Gladiatorii	gladiatorius	Pos	Sing	_	_	Gen	MascNeut	_	ADJqua
muneris	munus	_	Sing	_	_	Gen	_	_	NOMcom
sumptus	sumptus	_	Sing	_	_	Gen	_	2	NOMcom
modum	modus	_	Sing	_	_	Acc	_	_	NOMcom
fecit	facio	_	Sing	3	Ind|Perf|Act	_	_	_	VER

Sententiam	sententia	_	Sing	_	_	Acc	_	_	NOMcom
Platonis	Plato	_	Sing	_	_	Gen	_	_	NOMcom
semper	semper	Pos	_	_	_	_	_	_	ADV
in	in	_	_	_	_	_	_	_	PRE
ore	os	_	Sing	_	_	Abl	_	1	NOMcom
illius	ille	_	Sing	_	_	Gen	Com	_	PROdem
fuit	sum	_	Sing	3	Ind|Perf|Act	_	_	1	VER
florere	floreo	_	_	_	Inf|Pres|Act	_	_	_	VER
ciuitates	ciuitas	_	Plur	_	_	Acc	_	_	NOMcom
si	si	_	_	_	_	_	_	2	CONsub
aut	aut	_	_	_	_	_	_	_	CONcoo
philosophi	philosophus	_	Plur	_	_	Nom	_	1	NOMcom
imperarent	impero	_	Plur	3	Sub|Impa|Act	_	_	_	VER
aut	aut	_	_	_	_	_	_	_	CONcoo
imperantes	impero	_	Plur	_	Par|Pres|Act	Nom	MascFem	_	VER
philosopharentur	philosophor	_	Plur	3	Sub|Impa|Pass	_	_	_	VER

Filio	filius	_	Sing	_	_	Dat	_	_	NOMcom
suo	suus	_	Sing	_	_	Dat	MascNeut	_	PROpos.ref
Bruttii	Bruttius	_	Sing	_	_	Gen	_	_	NOMpro
Praesentis	Praesens	_	Sing	_	_	Gen	_	_	NOMpro
filiam	filia	_	Sing	_	_	Acc	_	_	NOMcom
iunxit	iungo	_	Sing	3	Ind|Perf|Act	_	_	_	VER
nuptiis	nuptiae	_	Plur	_	_	Abl	_	_	NOMcom
celebratis	celebro	_	Plur	_	Par|Perf|Pass	Abl	Com	_	VER
exemplo	exemplum	_	Sing	_	_	Abl	_	_	NOMcom
priuatorum	priuatus	Pos	Plur	_	_	Gen	MascNeut	_	ADJqua
quare	quare	_	_	_	_	_	_	1	ADVrel
etiam	etiam	Pos	_	_	_	_	_	_	ADV
congiarium	congiarium	_	Sing	_	_	Acc	_	_	NOMcom
dedit	do	_	Sing	3	Ind|Perf|Act	_	_	_	VER
populo	populus	_	Sing	_	_	Dat	_	1	NOMcom

Dein	deinde	Pos	_	_	_	_	_	_	ADV
ad	ad	_	_	_	_	_	_	2	PRE
conficiendum	conficio	_	Sing	_	Adj|_|Pass	Acc	MascNeut	_	VER
bellum	bellum	_	Sing	_	_	Acc	_	_	NOMcom
conuersus	conuerto	_	Sing	_	Par|Perf|Pass	Nom	Masc	_	VER
in	in	_	_	_	_	_	_	_	PRE
administratione	administratio	_	Sing	_	_	Abl	_	_	NOMcom
eius	is	_	Sing	_	_	Gen	Com	_	PROdem
belli	bellum	_	Sing	_	_	Gen	_	_	NOMcom
obit	obeo	_	Sing	3	Ind|Perf|Act	_	_	1	VER
labentibus	labor	_	Plur	_	Par|Pres|Act	Abl	Com	2	VER
iam	iam	Pos	_	_	_	_	_	_	ADV
filii	filius	_	Sing	_	_	Gen	_	_	NOMcom
moribus	mos	_	Plur	_	_	Abl	_	_	NOMcom
ab	ab	_	_	_	_	_	_	_	PRE
instituto	institutum	_	Sing	_	_	Abl	_	_	NOMcom
suo	suus	_	Sing	_	_	Abl	MascNeut	_	PROpos.ref

Triennio	triennium	_	Sing	_	_	Abl	_	_	NOMcom
bellum	bellum	_	Sing	_	_	Acc	_	_	NOMcom
postea	postea	Pos	_	_	_	_	_	_	ADV
cum	cum	_	_	_	_	_	_	2	PRE
Marcomannis	Marcomani	_	Plur	_	_	Abl	_	_	NOMpro
Hermunduris	Hermunduri	_	Plur	_	_	Abl	_	_	NOMpro
Sarmatis	Sarmatae	_	Plur	_	_	Abl	_	_	NOMpro
Quadis	Quadi	_	Plur	_	_	Abl	_	_	NOMpro
etiam	etiam	Pos	_	_	_	_	_	_	ADV
egit	ago	_	Sing	3	Ind|Perf|Act	_	_	_	VER
et	et	_	_	_	_	_	_	2	CONcoo
si	si	_	_	_	_	_	_	2	CONsub
anno	annus	_	Sing	_	_	Abl	_	_	NOMcom
uno	unus	_	Sing	_	_	Abl	MascNeut	_	ADJcar
superfuisset	supersum	_	Sing	3	Sub|Pqp|Act	_	_	1	VER
prouincias	prouincia	_	Plur	_	_	Acc	_	_	NOMcom
ex	ex	_	_	_	_	_	_	_	PRE
his	hic	_	Plur	_	_	Abl	Com	1	PROdem
fecisset	facio	_	Sing	3	Sub|Pqp|Act	_	_	_	VER

Ante	ante	_	_	_	_	_	_	1	ADV
biduum	biduum	_	Sing	_	_	Acc	_	_	NOMcom
quam	quam	_	Sing	_	_	Acc	Fem	1	PROrel
exspiraret	exspiro	_	Sing	3	Sub|Impa|Act	_	_	_	VER
admissis	admitto	_	Plur	_	Par|Perf|Pass	Dat	Com	_	VER
amicis	amicus	_	Plur	_	_	Dat	_	1	NOMcom
dicitur	dico	_	Sing	3	Ind|Pres|Pass	_	_	2	VER
ostendisse	ostendo	_	_	_	Inf|Perf|Act	_	_	_	VER
sententiam	sententia	_	Sing	_	_	Acc	_	_	NOMcom
de	de	_	_	_	_	_	_	_	PRE
filio	filius	_	Sing	_	_	Abl	_	_	NOMcom
eandem	idem	_	Sing	_	_	Acc	Fem	_	PROdem
quam	qui	_	Sing	_	_	Acc	Fem	1	PROrel
Philippus	Philippus	_	Sing	_	_	Nom	_	_	NOMpro
de	de	_	_	_	_	_	_	_	PRE
Alexandro	Alexander	_	Sing	_	_	Abl	_	_	NOMpro
cum	cum	_	_	_	_	_	_	3	CONsub
de	de	_	_	_	_	_	_	_	PRE
hoc	hic	_	Sing	_	_	Abl	MascNeut	1	PROdem
male	male	Pos	_	_	_	_	_	_	ADV
sentiret	sentio	_	Sing	3	Sub|Impa|Act	_	_	_	VER
addens	addo	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER
nimie	nimie	Pos	_	_	_	_	_	_	ADV
se	sui	_	Sing	_	_	Acc	_	1	PROref
aegre	aegre	Pos	_	_	_	_	_	_	ADV
ferre	fero	_	_	_	Inf|Pres|Act	_	_	_	VER
filium	filius	_	Sing	_	_	Acc	_	_	NOMcom
superstitem	superstes	Pos	Sing	_	_	Acc	MascFem	_	ADJqua
relinquens	relinquo	_	Sing	_	Par|Pres|Act	Nom	Com	_	VER

nam	nam	_	_	_	_	_	_	_	CONcoo
iam	iam	Pos	_	_	_	_	_	_	ADV
Commodus	Commodus	_	Sing	_	_	Nom	_	_	NOMpro
turpem	turpis	Pos	Sing	_	_	Acc	MascFem	_	ADJqua
se	sui	_	Sing	_	_	Acc	_	1	PROref
et	et	_	_	_	_	_	_	2	CONcoo
cruentum	cruentus	Pos	Sing	_	_	Acc	MascNeut	_	ADJqua
ostentabat	ostento	_	Sing	3	Ind|Impa|Act	_	_	_	VER

